epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.2433,3.12031,0.05,0.3,3.07547,0.00012381,0.00012381,0.00012381
2,25.9403,3.075,0.05,0.35,3.0848,0.000235929,0.000235929,0.000235929
3,38.277,3.00828,0.05,0.25,3.08241,0.000326048,0.000326048,0.000326048
4,49.784,2.9773,0,0.25,3.16524,0.000301,0.000301,0.000301
5,60.0802,2.91844,0,0.2,3.13989,0.000268,0.000268,0.000268
6,69.0184,2.88104,0,0.2,3.21735,0.000235,0.000235,0.000235
7,78.0648,2.8819,0,0.1,3.24846,0.000202,0.000202,0.000202
8,87.6262,2.76316,0,0.15,3.19301,0.000169,0.000169,0.000169
9,96.9056,2.77702,0,0.1,3.21868,0.000136,0.000136,0.000136
10,110.992,2.74957,0,0.1,3.28843,0.000103,0.000103,0.000103
11,122.675,2.8265,0,0.05,3.27173,7e-05,7e-05,7e-05
12,135.495,2.71324,0,0.05,3.2244,3.7e-05,3.7e-05,3.7e-05
